Joints
100
,,nathaniel:Thigh_Shank,,,nathaniel:World_Thigh,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,mm,mm,mm
131,0,25.3096,25.2503,-66.3013,76.0008,-12.8256,-46.2526,-78.5013,737.368,245.587
132,0,25.274,25.1624,-66.1891,76.0534,-12.8525,-46.225,-78.5896,737.293,245.43
133,0,25.2509,25.0823,-66.0912,76.0938,-12.8717,-46.1966,-78.6684,737.172,245.265
134,0,25.2079,24.973,-65.9615,76.1197,-12.8704,-46.1703,-78.7587,737.028,245.087
135,0,25.1835,24.8785,-65.8476,76.1297,-12.861,-46.15,-78.8471,736.831,244.858
136,0,25.1624,24.787,-65.715,76.1634,-12.8499,-46.1329,-78.9144,736.611,244.625
137,0,25.1326,24.6715,-65.5774,76.2045,-12.8382,-46.1175,-78.9608,736.366,244.413
138,0,25.0975,24.5497,-65.4307,76.2611,-12.8351,-46.0953,-78.9774,736.058,244.213
139,0,25.0549,24.4089,-65.2774,76.3186,-12.8369,-46.0683,-78.9618,735.693,244.014
140,0,25.0087,24.2648,-65.0852,76.4059,-12.8198,-46.0384,-78.9409,735.324,243.829
141,0,24.9697,24.1107,-64.9059,76.4748,-12.8037,-46.0086,-78.9224,734.927,243.609
142,0,24.9038,23.9297,-64.6773,76.5629,-12.7707,-45.9882,-78.9013,734.526,243.382
143,0,24.8582,23.7711,-64.4901,76.625,-12.7345,-45.9653,-78.8954,734.046,243.097
144,0,24.8236,23.628,-64.3034,76.6927,-12.6987,-45.9524,-78.8476,733.521,242.788
145,0,24.7778,23.4742,-64.106,76.758,-12.6542,-45.9397,-78.7859,732.92,242.457
146,0,24.7515,23.3414,-63.9389,76.8174,-12.5924,-45.9351,-78.7102,732.258,242.151
147,0,24.6946,23.1875,-63.7693,76.8646,-12.544,-45.9209,-78.6093,731.498,241.836
148,0,24.6318,23.016,-63.5777,76.917,-12.4743,-45.9229,-78.5315,730.758,241.54
149,0,24.5862,22.8729,-63.4032,76.9861,-12.42,-45.9144,-78.4015,729.994,241.232
150,0,24.5338,22.7239,-63.2304,77.0498,-12.3741,-45.9146,-78.2877,729.219,240.91
151,0,24.479,22.5708,-63.0463,77.1377,-12.3091,-45.9071,-78.1827,728.438,240.591
152,0,24.441,22.4395,-62.8887,77.2191,-12.2519,-45.9079,-78.0723,727.648,240.27
153,0,24.3771,22.2905,-62.7085,77.3081,-12.1908,-45.9135,-77.9552,726.83,239.97
154,0,24.3308,22.1699,-62.5529,77.3919,-12.1136,-45.9231,-77.8316,726.044,239.687
155,0,24.2855,22.0544,-62.4161,77.4659,-12.0436,-45.9212,-77.69,725.257,239.405
156,0,24.2371,21.9408,-62.2824,77.535,-11.9853,-45.9383,-77.5393,724.499,239.125
157,0,24.2023,21.817,-62.1255,77.6268,-11.8861,-45.9518,-77.4305,723.86,238.877
158,0,24.1678,21.7128,-62.0168,77.6749,-11.8125,-45.9585,-77.3268,723.182,238.589
159,0,24.1357,21.5998,-61.9004,77.7338,-11.7418,-45.963,-77.2157,722.559,238.367
160,0,24.112,21.5103,-61.7975,77.7983,-11.6966,-45.9422,-77.0846,721.984,238.172
161,0,24.0622,21.391,-61.6599,77.8641,-11.6306,-45.9355,-76.9699,721.507,237.992
162,0,24.0292,21.3065,-61.5565,77.9189,-11.5797,-45.9341,-76.8373,721.086,237.821
163,0,23.9968,21.2308,-61.4706,77.961,-11.5321,-45.9281,-76.7629,720.792,237.67
164,0,23.9486,21.156,-61.3769,77.989,-11.5097,-45.916,-76.6783,720.567,237.529
165,0,23.917,21.0936,-61.2921,78.0128,-11.4819,-45.9139,-76.6033,720.447,237.424
166,0,23.8913,21.026,-61.1939,78.049,-11.4607,-45.9222,-76.4983,720.414,237.364
167,0,23.8893,20.9787,-61.1131,78.0801,-11.4458,-45.9364,-76.3869,720.416,237.326
168,0,23.8919,20.9301,-61.0423,78.1051,-11.4434,-45.9503,-76.2932,720.449,237.308
169,0,23.8976,20.877,-60.97,78.1238,-11.4359,-45.9559,-76.2562,720.487,237.288
170,0,23.8706,20.788,-60.8586,78.1344,-11.4311,-45.9574,-76.2629,720.52,237.228
171,0,23.8406,20.6896,-60.7261,78.1482,-11.4246,-45.9441,-76.2949,720.559,237.128
172,0,23.7942,20.561,-60.5679,78.1545,-11.433,-45.9176,-76.3316,720.563,236.978
173,0,23.736,20.4028,-60.3504,78.1733,-11.4159,-45.9004,-76.3764,720.56,236.79
174,0,23.6861,20.2396,-60.1278,78.1889,-11.4058,-45.8746,-76.4133,720.494,236.556
175,0,23.6307,20.0558,-59.876,78.2268,-11.397,-45.8234,-76.4297,720.364,236.273
176,0,23.5952,19.8799,-59.6278,78.254,-11.3796,-45.7842,-76.447,720.11,235.883
177,0,23.5637,19.6822,-59.3545,78.2954,-11.3407,-45.7308,-76.4462,719.773,235.435
178,0,23.4963,19.434,-59.0166,78.3184,-11.2689,-45.7423,-76.4205,719.259,234.904
179,0,23.3982,19.1676,-58.6883,78.3251,-11.204,-45.7443,-76.3507,718.568,234.352
180,0,23.3008,18.894,-58.351,78.3317,-11.1129,-45.775,-76.2431,717.785,233.824
181,0,23.2009,18.5943,-58.0032,78.351,-11.0457,-45.7994,-76.0267,716.896,233.307
182,0,23.0684,18.2474,-57.5739,78.4157,-10.9495,-45.8358,-75.7861,715.979,232.792
183,0,22.9829,17.9309,-57.169,78.4987,-10.8508,-45.8758,-75.4768,715.009,232.212
184,0,22.8584,17.5658,-56.7178,78.5802,-10.7294,-45.9615,-75.1583,713.938,231.62
185,0,22.7299,17.1935,-56.2507,78.6623,-10.5837,-46.0716,-74.8291,712.78,231.026
186,0,22.5963,16.8174,-55.7809,78.7448,-10.4377,-46.1902,-74.432,711.49,230.408
187,0,22.4571,16.4068,-55.3018,78.8437,-10.2679,-46.3147,-74.0279,710.145,229.815
188,0,22.3152,16.0103,-54.7978,78.966,-10.0885,-46.4511,-73.5935,708.698,229.174
189,0,22.1664,15.5933,-54.2901,79.0908,-9.92402,-46.5833,-73.1016,707.194,228.494
190,0,22.0069,15.1651,-53.7702,79.2204,-9.71997,-46.7299,-72.6576,705.661,227.765
191,0,21.8458,14.747,-53.258,79.3384,-9.52458,-46.8816,-72.1961,704.054,226.969
192,0,21.6895,14.3268,-52.7434,79.4783,-9.33569,-47.0185,-71.7099,702.439,226.157
193,0,21.5162,13.8932,-52.1968,79.6285,-9.14422,-47.1646,-71.2018,700.751,225.292
194,0,21.3429,13.4563,-51.6652,79.7803,-8.94547,-47.2985,-70.7149,699.055,224.435
195,0,21.2121,13.0506,-51.1456,79.9427,-8.75372,-47.4152,-70.2637,697.322,223.478
196,0,21.0643,12.6184,-50.6027,80.1217,-8.54362,-47.5303,-69.8485,695.616,222.501
